time,entries_daily,mean_windspeed_daily,DJU heat,mean_cloudiness_daily
1565524800,39,3.472083333,6.195,0.628541667
1565611200,85,3.496458333,7.695,0.634791667
1565697600,101,3.170625,9.71,0.639791667
1565784000,46,4.245,8.59,0.887708333
1565870400,0,3.328333333,6.105,0.767083333
1565956800,38,3.894166667,8.08,0.80625
1566043200,135,4.555833333,6.43,0.94625
1566129600,60,5.460625,5.685,0.615833333
1566216000,94,2.749583333,8.485,0.393333333
1566302400,123,1.984583333,8.115,0.340208333
1566388800,138,2.389583333,5.581772896,0.286875
1566475200,134,2.079375,5.601418102,0.067083333
1566561600,0,3.447708333,3.286387899,0.406458333
1566648000,146,2.341041667,2.144933942,0.605625
1566734400,57,2.099791667,4.561337037,0.350208333
1566820800,143,2.869166667,2.310487589,0.723541667
1566907200,143,2.99,2.805799047,0.694166667
1566993600,156,3.47375,4.72,0.901458333
1567080000,126,1.956875,5.318640898,0.595208333
1567166400,117,1.822708333,5.341330312,0.423333333
1567252800,165,4.008333333,6.365,0.518958333
1567339200,84,2.718125,6.87,0.573125
1567425600,0,2.495416667,9.19,0.079166667
1567512000,0,2.133125,7.235,0.163333333
1567598400,0,2.242291667,8.655,0.555625
1567684800,0,3.281041667,9.885,0.550833333
1567771200,0,2.678958333,10.915,0.477291667
1567857600,0,3.13875,7.505,0.480208333
1567944000,0,2.114375,10.545,0.456458333
1568030400,0,2.846875,12.595,0.696666667
1568116800,0,2.997291667,8.305,0.508958333
1568203200,0,2.837708333,8.12,0.803541667
1568289600,0,2.108333333,5.775,0.745833333
1568376000,0,3.27375,5.997178416,0.233958333
1568462400,0,3.689583333,3.183004862,0.397916667
1568548800,0,2.859166667,4.188429924,0.026875
1568635200,268,3.140208333,4.562456459,0.147291667
1568721600,222,4.226458333,5.275,0.553333333
1568808000,135,6.36375,6.72,0.001875
1568894400,222,6.785625,8.115,0
1568980800,186,5.653541667,6.378943417,0.015833333
1569067200,198,4.542916667,2.822885431,0.414791667
1569153600,80,5.345416667,6.24,0.70625
1569240000,212,4.155625,10.255,0.761458333
1569326400,208,6.1525,6.63,0.852291667
1569412800,157,4.273125,8.715,0.885208333
1569499200,211,5.4875,7.695,0.993125
1569585600,161,4.745,8.45,0.782916667
1569672000,272,4.115416667,8.755,0.77625
1569758400,73,6.147708333,8.075,0.870416667
1569844800,225,3.601458333,10.445,0.922708333
1569931200,335,5.979375,7.605,0.883541667
1570017600,271,2.728333333,9.855,0.84875
1570104000,304,3.727708333,11.125,0.849791667
1570190400,290,5.2375,10.29,0.808333333
1570276800,284,3.176875,9.61,0.589583333
1570363200,85,5.164791667,9.14,0.584375
1570449600,336,3.26375,12.18,0.853333333
1570536000,297,5.283333333,9.6,0.837291667
1570622400,249,4.539375,11.335,0.782291667
1570708800,273,3.231458333,9.32,0.686666667
1570795200,249,3.836666667,8.665,0.779375
1570881600,302,3.315625,7.35,0.591458333
1570968000,76,2.606875,8.61,0.848333333
1571054400,323,3.58,8.685,0.852708333
1571140800,338,4.010208333,11.515,0.729375
1571227200,212,6.623125,10.18,0.92
1571313600,281,4.007083333,11.23,0.838333333
1571400000,274,4.578333333,11.33,0.7525
1571486400,277,1.988125,12.16,0.875208333
1571572800,73,1.960416667,12.725,0.881666667
1571659200,118,0.966666667,15.075,0.410833333
1571745600,192,2.580833333,14.92,0.697083333
1571832000,126,3.501041667,11.39,0.903958333
1571918400,216,2.474166667,11.725,0.836875
1572004800,126,3.949583333,10.355,0.898333333
1572091200,44,4.100833333,8.95,0.877083333
1572177600,74,3.885,13.48,0.989583333
1572264000,64,4.399166667,15.045,0.994583333
1572350400,75,4.0075,13.55,1
1572436800,47,3.130833333,10.975,0.980833333
1572523200,46,3.722708333,9.8,0.971041667
1572609600,0,5.526666667,9.81,0.975625
1572696000,41,5.666666667,13.06,0.885625
1572782400,78,5.388958333,13.135,0.782708333
1572868800,337,5.512083333,13.67,0.728125
1572955200,285,3.846041667,15.28,0.810625
1573041600,244,3.38625,14.42,0.798333333
1573128000,276,3.781041667,18.285,0.657708333
1573214400,297,2.829166667,17.32,0.645208333
1573300800,271,3.908333333,19.665,0.69125
1573387200,74,2.924166667,17.785,0.505416667
1573473600,0,3.72375,16.72,0.665625
1573560000,283,2.929791667,17.2,0.625625
1573646400,291,2.974583333,19.015,0.723541667
1573732800,288,1.747083333,18.78,0.424375
1573819200,299,3.065208333,20.48,0.680833333
1573905600,259,2.385208333,17.885,0.798333333
1573992000,85,1.326458333,21.11,0.985416667
1574078400,334,1.275,18.63,0.655416667
1574164800,303,2.174791667,19.78,0.910833333
1574251200,264,3.543333333,20.535,0.922291667
1574337600,294,3.99,17.885,0.816666667
1574424000,278,6.343333333,16.985,0.902291667
1574510400,197,2.734166667,15.895,0.695
1574596800,86,2.701458333,17.25,0.860833333
1574683200,285,3.905833333,13.215,0.92375
1574769600,266,5.175,12.225,0.934375
1574856000,202,6.658958333,13.185,0.8475
1574942400,264,4.286666667,13.69,0.77125
1575028800,310,2.076875,15.105,0.466875
1575115200,228,3.43875,18.02,0.98625
1575201600,76,3.249166667,18.83,0.860625
1575288000,325,3.633333333,20.305,0.084791667
1575374400,270,3.255416667,21.91,0.21625
1575460800,244,2.465625,22.585,0.175208333
1575547200,0,1.514583333,23.65,0.243125
1575633600,274,5.339791667,19.03,0.9875
1575720000,237,3.188958333,13.9,0.809166667
1575806400,82,7.683333333,14.1,0.911458333
1575892800,314,7.479166667,14.95,0.453125
1575979200,247,5.862083333,17.41,0.928333333
1576065600,229,5.532083333,17.245,0.619791667
1576152000,223,6.854583333,16.745,0.882291667
1576238400,306,10.14479167,14.655,0.748125
1576324800,244,6.8075,14.55,0.766041667
1576411200,83,5.207708333,15.52,0.984166667
1576497600,284,3.1225,15.795,0.992916667
1576584000,219,3.169791667,16.085,0.969791667
1576670400,218,5.941041667,15.925,0.708125
1576756800,227,8.600833333,12.575,0.969583333
1576843200,276,6.015833333,14.535,0.764583333
1576929600,139,8.005833333,14.695,0.742708333
1577016000,64,9.160833333,15.41,0.643958333
1577102400,50,5.63125,14.33,0.909583333
1577188800,30,6.282083333,14.32,0.680208333
1577275200,0,2.812708333,16.075,0.601875
1577361600,49,5.649166667,15.755,0.712083333
1577448000,26,2.892083333,13.945,0.878541667
1577534400,51,3.249583333,17.28,0.829166667
1577620800,46,2.870833333,20.71,0.810833333
1577707200,70,1.454375,21.42,0.327708333
1577793600,78,3.178125,20.135,0.426041667
1577880000,0,2.994791667,15.87,0.87625
1577966400,126,4.066041667,15.3,0.971458333
1578052800,116,5.216041667,14.66,0.532916667
1578139200,47,1.396666667,18.81,0.399166667
1578225600,77,1.64,20.005,0.078541667
1578312000,331,3.195,20.325,0.393541667
1578398400,210,3.70625,14.595,0.994166667
1578484800,211,4.892291667,13.385,1
1578571200,207,8.025208333,14.145,0.849166667
1578657600,340,3.521666667,17.175,0.666041667
1578744000,335,3.880625,18.345,0.876875
1578830400,82,4.418958333,15.19,0.855416667
1578916800,327,7.189375,15.075,0.961458333
1579003200,243,9.61625,13.855,0.922291667
1579089600,195,6.087916667,15.265,0.679166667
1579176000,287,6.660208333,14.825,0.724166667
1579262400,268,5.360208333,17.22,0.635625
1579348800,288,3.579583333,18.275,0.647083333
1579435200,157,5.472916667,20.035,0.103958333
1579521600,213,6.026666667,20.32,0.082708333
1579608000,254,4.921458333,22.03,0.136458333
1579694400,215,5.52,22,0.039791667
1579780800,232,5.130833333,22.065,0.72875
1579867200,278,2.381875,19,0.331666667
1579953600,279,3.398958333,17.155,0.610833333
1580040000,79,5.398958333,16.06,0.821041667
1580126400,332,8.508125,15.4,0.991666667
1580212800,261,8.630208333,17.19,0.879166667
1580299200,268,3.816666667,15.45,0.94625
1580385600,235,7.151041667,14.83,0.991875
1580472000,295,5.7225,12.885,0.94875
1580558400,260,6.991041667,12.945,0.836875
1580644800,93,8.5175,12.145,1
1580731200,294,7.585625,11.51,0.986875
1580817600,222,4.861458333,16.595,0.212708333
1580904000,247,2.769375,18.15,0.121666667
1580990400,211,5.533333333,19.225,0.022083333
1581076800,331,4.058333333,17.315,0.556875
1581163200,264,3.795625,15.685,0.762083333
1581249600,159,11.50729167,14.915,0.968541667
1581336000,332,10.80875,15.325,0.968541667
1581422400,234,5.725416667,16.89,0.873958333
1581508800,215,3.919583333,16.525,0.725625
1581595200,271,10.061875,15.94,0.908333333
1581681600,271,4.34875,14.675,0.907083333
1581768000,141,7.985,12.815,0.982708333
1581854400,59,10.835625,11.94,0.99875
1581940800,0,6.02125,15.975,0.453541667
1582027200,0,4.868125,16.335,0.575625
1582113600,0,5.273125,15.115,0.942083333
1582200000,0,5.835416667,15.07,0.773125
1582286400,0,2.898958333,18.415,0.724166667
1582372800,0,5.208541667,16.33,0.683541667
1582459200,0,6.283125,14.04,0.995833333
1582545600,0,6.613958333,14.39,0.989166667
1582632000,0,7.072708333,16.485,0.79625
1582718400,0,6.083541667,17.27,0.909166667
1582804800,0,6.719791667,16.075,0.860416667
1582891200,0,6.40375,17.35,0.985625
1582977600,0,9.046875,16.32,0.91625
1583064000,0,6.482083333,17.32,0.911041667
1583150400,330,6.591458333,17.21,0.613125
1583236800,264,2.5725,18.72,0.857291667
1583323200,186,4.736458333,16.415,0.985833333
1583409600,264,8.945416667,15.39,0.79
1583496000,286,4.74625,18.37,0.688958333
1583582400,286,3.732708333,17.345,0.825833333
1583668800,73,7.455416667,15.105,0.550416667
1583755200,281,5.737708333,16.57,0.600625
1583841600,228,7.331875,14.095,1
1583928000,167,6.735416667,11.705,0.668958333
1584014400,291,5.3325,14.79,0.814166667
1584100800,342,2.688333333,17.34,0.493125
1584187200,143,4.468125,15.1,0.878125
1584273600,94,4.315625,14.525,0.758125
